"Data" , "Round of tournment" , "Name1" , "Name2" , "Sets", "Name of tournment" , "Clay", "1st SERVE %", "1st SERVE POINTS WON", "2nd SERVE POINTS WON", "BREAK POINTS WON", "TOTAL RETURN POINTS WON", "TOTAL POINTS WON", "DOUBLE FAULTS", "ACES", "Info about Sportsmen1", "Info about Sportsmen2"

26.05.15 , "1st round" , "Timea Bacsinszky" , "Lara Arruabarrena" , "6-3, 6-4" , "Paris" , "Clay" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Switzerland 08.06.89, 25 years 170 cm 62 kg 2004 Right-handed 24 1958 1.573.449 $" , "Spain 20.03.92, 23 years 79 723"

24.05.15 , "1st round" , "Lucie Safarova" , "Anastasia Pavlyuchenkova" , "7-66, 7-69" , "Paris" , "Clay" , 66/105 (63%) , 50/100 (50%) , 46/66 (70%) , 30/50 (60%) , 14/39 (36%) , 24/50 (48%) , 4/7 (57%) , 4/10 (40%) , 46/100 (46%) , 45/105 (43%) , 106/205 (52%) , 99/205 (48%) , 9 , 7 , 8 , 5 , "Czech Republic 04.02.87, 28 years 177 cm 64 kg 2002 Left-handed 13 2995 5.657.303 $" , "Russia 03.07.91, 23 years 176 cm 68 kg 2005 Right-handed 39 1261 4.630.615 $"

20.05.15 , "q 1" , "Paula Kania" , "Alla Kudryavtseva" , "7-5, 6-4" , "Paris" , "Clay" , 56/93 (60%) , 38/70 (54%) , 37/56 (66%) , 15/38 (39%) , 10/37 (27%) , 12/32 (38%) , 8/16 (50%) , 6/17 (35%) , 43/70 (61%) , 46/93 (49%) , 90/163 (55%) , 73/163 (45%) , 2 , 2 , 0 , 3 , "Poland 06.11.92, 22 years 160 326" , "Russia 03.11.87, 27 years 178 cm 70 kg 2005 Right-handed 128 420 2.348.226 $"

24.05.15 , "1st round" , "Misaki Doi" , "Petra Cetkovska" , "6-3, 6-2" , "Paris" , "Clay" , 36/70 (51%) , 35/53 (66%) , 25/36 (69%) , 21/35 (60%) , 18/34 (53%) , 5/18 (28%) , 4/9 (44%) , 1/6 (17%) , 27/53 (51%) , 27/70 (39%) , 70/123 (57%) , 53/123 (43%) , 2 , 8 , 2 , 1 , "Japan 29.04.91, 24 years 103 576" , "Czech Republic 08.02.85, 30 years 172 cm 64 kg Right-handed 147 365 1.752.744 $"

24.05.15 , "1st round" , "Kurumi Nara" , "Oceane Dodin" , "3-6, 7-5, 6-1" , "Paris" , "Clay" , 70/93 (75%) , 52/89 (58%) , 41/70 (59%) , 36/52 (69%) , 9/23 (39%) , 8/37 (22%) , 7/10 (70%) , 5/11 (45%) , 45/89 (51%) , 43/93 (46%) , 95/182 (52%) , 87/182 (48%) , 1 , 14 , 0 , 2 , "Japan 30.12.91, 23 years 55 960" , "France 24.10.96, 18 years 142 391"

21.05.15 , "q 2" , "Jessica Pegula" , "Victoria Kan" , "7-64, 6-2" , "Paris" , "Clay" , 38/60 (63%) , 37/76 (49%) , 21/38 (55%) , 19/37 (51%) , 11/22 (50%) , 14/39 (36%) , 6/10 (60%) , 4/6 (67%) , 43/76 (57%) , 28/60 (47%) , 75/136 (55%) , 61/136 (45%) , 2 , 2 , 2 , 0 , "USA 24.02.94, 21 years 382 87" , "Russia 03.08.95, 19 years 326 113"

22.05.15 , "qual." , "Sesil Karatantcheva" , "Tamira Paszek" , "6-1, 6-3" , "Paris" , "Clay" , 39/53 (74%) , 35/55 (64%) , 23/39 (59%) , 15/35 (43%) , 10/14 (71%) , 7/20 (35%) , 6/11 (55%) , 2/5 (40%) , 33/55 (60%) , 20/53 (38%) , 66/108 (61%) , 42/108 (39%) , 2 , 5 ,  ,  , "Kazakhstan 08.08.89, 25 years 173 cm 62 kg Right-handed 106 565" , "Austria 06.12.90, 24 years 165 cm 60 kg 2005 Right-handed 199 261 2.228.565 $"

22.05.15 , "qual." , "Dinah Pfizenmaier" , "Vera Dushevina" , "0-6, 6-3, 6-1" , "Paris" , "Clay" , 42/63 (67%) , 42/73 (58%) , 27/42 (64%) , 23/42 (55%) , 9/21 (43%) , 15/31 (48%) , 5/8 (63%) , 4/7 (57%) , 35/73 (48%) , 27/63 (43%) , 71/136 (52%) , 65/136 (48%) , 5 , 1 , 4 , 0 , "Germany 13.01.92, 23 years 145 367" , "Russia 06.10.86, 28 years 180 cm 73 kg 2003 Right-handed 706 22 3.081.132 $"

20.05.15 , "q 1" , "Olivia Rogowska" , "Aliaksandra Sasnovich" , "6-2, 6-3" , "Paris" , "Clay" , 30/52 (58%) , 40/61 (66%) , 19/30 (63%) , 18/40 (45%) , 13/22 (59%) , 9/21 (43%) , 6/16 (38%) , 2/6 (33%) , 34/61 (56%) , 20/52 (38%) , 66/113 (58%) , 47/113 (42%) , 1 , 2 , 3 , 2 , "Australia 07.06.91, 23 years 200 261" , "Belarus 22.03.94, 21 years 127 431"

20.05.15 , "q 1" , "Anastasia Rodionova" , "Julia Glushko" , "0-6, 6-4, 7-5" , "Paris" , "Clay" , 61/93 (66%) , 66/89 (74%) , 34/61 (56%) , 38/66 (58%) , 19/32 (59%) , 15/23 (65%) , 4/9 (44%) , 5/7 (71%) , 36/89 (40%) , 40/93 (43%) , 89/182 (49%) , 93/182 (51%) , 4 , 0 , 0 , 2 , "Australia 12.05.82, 33 years 167 cm 59 kg 1997 Right-handed 195 267 2.895.401 $" , "Izrael 01.01.90, 25 years 118 472"

25.05.15 , "1st round" , "Elina Svitolina" , "Yanina Wickmayer" , "6-2, 6-2" , "Paris" , "Clay" , 29/47 (62%) , 36/53 (68%) , 23/29 (79%) , 16/36 (44%) , 9/18 (50%) , 8/17 (47%) , 5/9 (56%) , 1/2 (50%) , 29/53 (55%) , 15/47 (32%) , 61/100 (61%) , 39/100 (39%) , 2 , 2 , 1 , 0 , "Ukraine 12.09.94, 20 years 21 2045 1.112.585 $" , "Belgium 20.10.89, 25 years 180 cm 66 kg Right-handed 78 723 3.261.569 $"

20.05.15 , "q 1" , "Barbora Krejcikova" , "Bianca Botto" , "6-2, 6-2" , "Paris" , "Clay" , 29/58 (50%) , 31/44 (70%) , 21/29 (72%) , 16/31 (52%) , 13/29 (45%) , 2/13 (15%) , 6/10 (60%) , 2/5 (40%) , 26/44 (59%) , 24/58 (41%) , 60/102 (59%) , 42/102 (41%) , 5 , 3 , 5 , 0 , "Czech Republic 18.12.95, 19 years 146 366" , "Peru 06.06.91, 23 years 214 230"

26.05.15 , "1st round" , "Danka Kovinic" , "Klara Koukalova" , "6-3, 7-64" , "Paris" , "Clay" , 40/67 (60%) , 42/72 (58%) , 30/40 (75%) , 29/42 (69%) , 20/27 (74%) , 16/30 (53%) , 2/7 (29%) , 1/4 (25%) , 27/72 (38%) , 17/67 (25%) , 77/139 (55%) , 62/139 (45%) , 0 , 3 , 6 , 0 , "0 18.11.94, 20 years 89 661" , "Czech Republic 24.02.82, 33 years 166 cm 50 kg 1999 Right-handed 77 725 3.674.547 $"

26.05.15 , "1st round" , "Tereza Smitkova" , "Taylor Townsend" , "6-3, 6-4" , "Paris" , "Clay" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Czech Republic 10.10.94, 20 years 65 864" , "USA 16.04.96, 19 years 130 419"

22.05.15 , "qual." , "Lourdes Dominguez-Lino" , "Shahar Peer" , "6-2, 6-2" , "Paris" , "Clay" , 40/60 (67%) , 28/51 (55%) , 29/40 (73%) , 14/28 (50%) , 12/20 (60%) , 12/23 (52%) , 4/7 (57%) , 0/6 (0%) , 25/51 (49%) , 19/60 (32%) , 66/111 (59%) , 45/111 (41%) , 1 , 1 , 1 , 0 , "Spain 31.03.81, 34 years 163 cm 60 kg Right-handed 114 509 2.136.453 $" , "Izrael 01.05.87, 28 years 170 cm 60 kg 2004 Right-handed 119 472 5.011.630 $"

26.05.15 , "1st round" , "Natela Dzalamidze" , "Daria Mironova" , "3-6, 6-4, 6-1" , "Moscow" , "Clay" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Russia 27.02.93, 22 years 337 106" , "Russia 09.04.93, 22 years 865 15"

26.05.15 , "1st round" , "Pia Konig" , "Elisabeth Lyukshinova" , "6-3, 6-4" , "Moscow" , "Clay" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Austria 14.05.93, 22 years 339 105" , "Russia 15.08.97, 17 years"

20.05.15 , "q 1" , "Tessah Andrianjafitrimo" , "Patricia Mayr-Achleitner" , "6-2, 6-4" , "Paris" , "Clay" , 44/55 (80%) , 32/50 (64%) , 27/44 (61%) , 13/32 (41%) , 4/11 (36%) , 10/18 (56%) , 6/9 (67%) , 3/6 (50%) , 27/50 (54%) , 24/55 (44%) , 58/105 (55%) , 47/105 (45%) , 2 , 0 ,  ,  , "France 11.10.98, 16 years 775 18" , "Austria 08.11.86, 28 years 201 258"

26.05.15 , "1st round" , "Noppawan Lertcheewakarn" , "Di Zhao" , "6-0, 6-2" , "Xuzhou" , "Hard" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Thailand 18.11.91, 23 years 421 72" , "China 05.01.93, 22 years 579 36"

26.05.15 , "1st round" , "Danielle Lao" , "Marie Bouzkova" , "6-1, 6-3" , "Xuzhou" , "Hard" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "USA 28.05.91, 24 years 386 85" , "Czech Republic 21.07.98, 16 years 475 56"

26.05.15 , "1st round" , "Xinyun Han" , "Alison Bai" , "6-1, 6-2" , "Xuzhou" , "Hard" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "China 30.05.90, 25 years 224 215" , "Australia 18.01.90, 25 years 356 96"

21.05.15 , "q 2" , "Andrea Hlavackova" , "Alberta Brianti" , "6-4, 6-77, 6-3" , "Paris" , "Clay" , 80/120 (67%) , 66/95 (69%) , 46/80 (58%) , 37/66 (56%) , 19/40 (48%) , 11/29 (38%) , 8/11 (73%) , 6/15 (40%) , 47/95 (49%) , 55/120 (46%) , 112/215 (52%) , 103/215 (48%) , 3 , 6 , 3 , 2 , "Czech Republic 10.08.86, 28 years 190 275 2.753.647 $" , "Italy 05.04.80, 35 years 183 282 1.205.115 $"

24.05.15 , "1st round" , "Camila Giorgi" , "Tatjana Maria" , "7-5, 6-3" , "Paris" , "Clay" , 40/69 (58%) , 43/76 (57%) , 25/40 (63%) , 23/43 (53%) , 14/29 (48%) , 13/33 (39%) , 6/14 (43%) , 4/11 (36%) , 40/76 (53%) , 30/69 (43%) , 79/145 (54%) , 66/145 (46%) , 8 , 4 , 0 , 2 , "Italy 30.12.91, 23 years 37 1300 1.117.108 $" , "Germany 08.08.87, 27 years 73 754"

20.05.15 , "q 1" , "Kai-Lin Zhang" , "Paula Ormaechea" , "6-4, 6-0" , "Paris" , "Clay" , 35/53 (66%) , 57/74 (77%) , 23/35 (66%) , 29/57 (51%) , 11/18 (61%) , 5/17 (29%) , 5/14 (36%) , 1/5 (20%) , 40/74 (54%) , 19/53 (36%) , 74/127 (58%) , 53/127 (42%) , 1 , 0 ,  ,  , "China 28.01.90, 25 years 151 348" , "Argentina 28.09.92, 22 years 172 300"

26.05.15 , "1st round" , "Alyona Sotnikova" , "Olga Ianchuk" , "7-5, 6-73, 7-62" , "Moscow" , "Clay" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Ukraine 05.05.92, 23 years 332 108" , "Ukraine 29.03.95, 20 years 277 155"

25.05.15 , "1st round" , "Denisa Allertova" , "Johanna Konta" , "7-617, 4-6, 6-2" , "Paris" , "Clay" , 74/116 (64%) , 80/120 (67%) , 48/74 (65%) , 51/80 (64%) , 25/42 (60%) , 22/40 (55%) , 3/5 (60%) , 2/10 (20%) , 47/120 (39%) , 43/116 (37%) , 120/236 (51%) , 116/236 (49%) , 3 , 1 , 4 , 6 , "Czech Republic 07.03.93, 22 years 88 663" , "United Kingdom 17.05.91, 24 years 143 376"

21.05.15 , "q 2" , "Johanna Konta" , "Elizaveta Kulichkova" , "7-61, 6-3" , "Paris" , "Clay" , 41/64 (64%) , 48/87 (55%) , 33/41 (80%) , 28/48 (58%) , 12/23 (52%) , 18/39 (46%) , 3/9 (33%) , 2/8 (25%) , 41/87 (47%) , 19/64 (30%) , 86/151 (57%) , 65/151 (43%) , 1 , 2 , 6 , 0 , "United Kingdom 17.05.91, 24 years 143 376" , "Russia 12.04.96, 19 years 112 523"

21.05.15 , "q 2" , "Dinah Pfizenmaier" , "Anna Tatishvili" , "7-64, 6-2" , "Paris" , "Clay" , 49/74 (66%) , 47/67 (70%) , 37/49 (76%) , 28/47 (60%) , 11/25 (44%) , 10/20 (50%) , 3/3 (100%) , 1/5 (20%) , 29/67 (43%) , 26/74 (35%) , 77/141 (55%) , 64/141 (45%) , 3 , 1 , 6 , 0 , "Germany 13.01.92, 23 years 145 367" , "USA 03.02.90, 25 years 157 cm 45 kg Right-handed 136 405 1.162.842 $"

26.05.15 , "1st round" , "David Vega Hernandez" , "Alexandru-Daniel Carpen" , "6-4, 6-4" , "Romania F4" , "Clay" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Spain 23.06.94, 20 years 483 75 28.651 $" , "Romania 24.11.86, 28 years 29.653 $"

26.05.15 , "1st round" , "Jordan Thompson" , "Richard Waite" , "6-5 retired Richard Waite" , "Romania F4" , "Clay" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Australia 20.04.94, 21 years 254 198 86.638 $" , "Germany 31.07.90, 24 years 898 12 18.176 $"

26.05.15 , "1st round" , "Dragos Dima" , "Andrei Stefan Apostol" , "7-61, 6-1" , "Romania F4" , "Clay" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Romania 16.06.92, 22 years 492 72 13.631 $" , "Romania 25.02.95, 20 years 5.830 $"

27.05.15 , "2nd round" , "Juan Carlos Saez" , "Andrei Cociasu" , "6-2, 6-0" , "Romania F4" , "Clay" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Chile 05.08.91, 23 years 257 196 55.234 $" , "Romania 10.07.92, 22 years 3.594 $"

