100,,Jan Lennard Struff,GER,498,-2,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
101,,Tatsuma Ito,JPN,495,+5,-,Lost in Roland Garros R128Lost in Manchester R32,-,-,,Thu Jun  4 18:29:22 2015
102,,Alejandro Falla,COL,492,+7,-,Lost in Roland Garros R128Lost in Manchester R16,-,-,,Thu Jun  4 18:29:22 2015
103,,Luca Vanni,ITA,488,-1,-,Lost in Roland Garros R128Lost in Prostejov R32,-,-,,Thu Jun  4 18:29:22 2015
104,,Maximo Gonzalez,ARG,488,+10,Mestre QF,Lost in Roland Garros R128,502,553,,Thu Jun  4 18:29:22 2015
105,,Kyle Edmund,GBR,486,+16,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
106,,Kimmer Coppejans,BEL,483,+1,-,Lost in Roland Garros R128Lost in Furth R32,-,-,,Thu Jun  4 18:29:22 2015
107,,Guido Pella,ARG,481,+6,-,Lost in Vicenza QFLost in Mestre R32,-,-,,Thu Jun  4 18:29:22 2015
108,,Jurgen Melzer,AUT,480,+2,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
109,,Carlos Berlocq,ARG,480,+2,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
110,,James Ward,GBR,478,-6,Manchester R16,Lost in Vicenza R32,483,548,,Thu Jun  4 18:29:22 2015
111,,Lleyton Hewitt,AUS,475,-3,-,-,-,-,,Thu Jun  4 18:29:22 2015
112,,Adrian Menendez Maceiras,ESP,469,-,-,-,-,-,,Thu Jun  4 18:29:22 2015
113,,Austin Krajicek,USA,468,+5,-,Lost in Manchester R32,-,-,,Thu Jun  4 18:29:22 2015
114,,Ivan Dodig,CRO,466,+5,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
115,,Filip Krajinovic,SRB,466,-16,-,Lost in Roland Garros R128Lost in Prostejov QF,-,-,,Thu Jun  4 18:29:22 2015
116,,Facundo Bagnis,ARG,464,-20,-,Lost in Vicenza QFLost in Mestre R32,-,-,,Thu Jun  4 18:29:22 2015
117,,John Millman,AUS,463,+15,-,Lost in Vicenza FLost in Furth R32,-,-,,Thu Jun  4 18:29:22 2015
118,,Alejandro Gonzalez,COL,454,-13,-,-,-,-,,Thu Jun  4 18:29:22 2015
119,,Matthias Bachinger,GER,441,+5,-,Lost in Roland Garros R128Lost in Prostejov R16,-,-,,Thu Jun  4 18:29:22 2015
120,,Paul Henri Mathieu,FRA,439,+5,-,Lost in Roland Garros R128Lost in Prostejov R16,-,-,,Thu Jun  4 18:29:22 2015
121,,Illya Marchenko,UKR,437,+6,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
122,,Marinko Matosevic,AUS,436,-22,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
123,,Thiemo de Bakker,NED,435,+10,-,Lost in Vicenza SFLost in Furth R32,-,-,,Thu Jun  4 18:29:22 2015
124,,Edouard Roger Vasselin,FRA,432,-1,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
125,,Aleksandr Nedovyesov,KAZ,431,-10,-,Lost in Prostejov R16,-,-,,Thu Jun  4 18:29:22 2015
126,,Farrukh Dustov,UZB,425,+2,-,Lost in Prostejov R32,-,-,,Thu Jun  4 18:29:22 2015
127,,Radu Albot,MDA,419,+3,-,-,-,-,,Thu Jun  4 18:29:22 2015
128,,Alexander Kudryavtsev,RUS,416,+3,-,-,-,-,,Thu Jun  4 18:29:22 2015
129,,Ryan Harrison,USA,413,-3,-,Lost in Manchester R32,-,-,,Thu Jun  4 18:29:22 2015
130,,Marco Cecchinato,ITA,400,-8,-,Lost in Prostejov R16,-,-,,Thu Jun  4 18:29:22 2015
131,,Norbert Gombos,SVK,393,-28,-,Lost in Vicenza R32Lost in Prostejov R32,-,-,,Thu Jun  4 18:29:22 2015
132,,Daniel Munoz De La Nava,ESP,390,+2,-,Lost in Furth R32,-,-,,Thu Jun  4 18:29:22 2015
133,,Andre Ghem,BRA,388,+7,-,Lost in Prostejov QF,-,-,,Thu Jun  4 18:29:22 2015
134,,Andrey Golubev,KAZ,386,+1,-,Lost in Roland Garros R128Lost in Prostejov R32,-,-,,Thu Jun  4 18:29:22 2015
135,,Denis Kudla,USA,386,+1,-,-,-,-,,Thu Jun  4 18:29:22 2015
136,,Facundo Arguello,ARG,385,+1,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
137,,Horacio Zeballos,ARG,383,+5,Furth QF,-,399,456,,Thu Jun  4 18:29:22 2015
138,,Bjorn Fratangelo,USA,376,+11,-,Lost in Vicenza SFLost in Mestre R32,-,-,,Thu Jun  4 18:29:22 2015
139,,Rajeev Ram,USA,375,+8,Manchester QF,-,389,440,,Thu Jun  4 18:29:22 2015
140,,Michal Przysiezny,POL,372,-2,-,-,-,-,,Thu Jun  4 18:29:22 2015
141,,Pierre Hugues Herbert,FRA,371,+2,-,-,-,-,,Thu Jun  4 18:29:22 2015
142,,Nicolas Almagro,ESP,370,+12,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
143,,Peter Gojowczyk,GER,361,+1,-,Lost in Furth R32,-,-,,Thu Jun  4 18:29:22 2015
144,,Yuichi Sugita,JPN,356,+4,-,-,-,-,,Thu Jun  4 18:29:22 2015
145,,Inigo Cervantes,ESP,356,+19,Furth QF,Vicenza W,372,429,,Thu Jun  4 18:29:22 2015
146,,Michael Berrer,GER,355,-1,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
147,,Konstantin Kravchuk,RUS,350,+3,Manchester R16,-,358,423,,Thu Jun  4 18:29:22 2015
148,,Albert Montanes,ESP,349,+7,Furth QF,Lost in Vicenza R16,365,422,,Thu Jun  4 18:29:22 2015
149,,Jimmy Wang,TPE,345,+2,Manchester R16,-,353,418,,Thu Jun  4 18:29:22 2015
150,,Tobias Kamke,GER,343,-33,-,Lost in Furth R32,-,-,,Thu Jun  4 18:29:22 2015
151,,Yoshihito Nishioka,JPN,338,-5,-,Lost in Roland Garros R128Lost in Mestre R32,-,-,,Thu Jun  4 18:29:22 2015
152,,Jurgen Zopp,EST,337,-11,-,-,-,-,,Thu Jun  4 18:29:22 2015
153,,Jared Donaldson,USA,337,-,-,-,-,-,,Thu Jun  4 18:29:22 2015
154,,Kenny De Schepper,FRA,334,-15,-,-,-,-,,Thu Jun  4 18:29:22 2015
155,,Nikoloz Basilashvili,GEO,333,+5,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
156,,Radek Stepanek,CZE,332,-27,-,Lost in Roland Garros R64Lost in Prostejov R32,-,-,,Thu Jun  4 18:29:22 2015
157,,Taro Daniel,JPN,330,+11,Furth QF,Lost in Roland Garros R128,346,403,,Thu Jun  4 18:29:22 2015
158,,Yuki Bhambri,IND,329,-2,-,-,-,-,,Thu Jun  4 18:29:22 2015
159,,Niels Desein,BEL,319,-1,-,Lost in Manchester R32,-,-,,Thu Jun  4 18:29:22 2015
160,,Gastao Elias,POR,318,-8,Mestre R16,Lost in Roland Garros R128,326,391,,Thu Jun  4 18:29:22 2015
161,,Frank Dancevic,CAN,315,-2,-,Lost in Vicenza R32Lost in Furth R16,-,-,,Thu Jun  4 18:29:22 2015
162,,James McGee,IRL,313,-5,-,Lost in Vicenza R32,-,-,,Thu Jun  4 18:29:22 2015
163,,Renzo Olivo,ARG,313,+7,-,Lost in Vicenza R16Lost in Furth R16,-,-,,Thu Jun  4 18:29:22 2015
164,,Jason Kubler,AUS,312,-3,-,-,-,-,,Thu Jun  4 18:29:22 2015
165,,John Patrick Smith,AUS,312,-3,Manchester R16,-,320,385,,Thu Jun  4 18:29:22 2015
166,,Gerald Melzer,AUT,311,-3,-,Lost in Furth R16,-,-,,Thu Jun  4 18:29:22 2015
167,,Marton Fucsovics,HUN,304,-,-,Lost in Prostejov R32,-,-,,Thu Jun  4 18:29:22 2015
168,,Hiroki Moriya,JPN,302,+3,-,Lost in Manchester R16,-,-,,Thu Jun  4 18:29:22 2015
169,,Guilherme Clezar,BRA,297,+3,-,Lost in Vicenza R16Lost in Mestre R16,-,-,,Thu Jun  4 18:29:22 2015
170,,Roberto Carballes Baena,ESP,290,+8,Mestre QF,-,304,355,,Thu Jun  4 18:29:22 2015
171,,Somdev Devvarman,IND,288,-2,-,-,-,-,,Thu Jun  4 18:29:22 2015
172,,Guido Andreozzi,ARG,287,+8,-,Lost in Vicenza QFLost in Mestre R16,-,-,,Thu Jun  4 18:29:22 2015
173,,Aslan Karatsev,RUS,286,-,-,-,-,-,,Thu Jun  4 18:29:22 2015
174,,Nicolas Jarry,CHI,286,+7,Mestre QF,-,300,351,,Thu Jun  4 18:29:22 2015
175,,Liam Broady,GBR,282,+1,-,Lost in Manchester R32,-,-,,Thu Jun  4 18:29:22 2015
176,,Igor Sijsling,NED,278,-10,-,Lost in Roland Garros R128Lost in Manchester R32,-,-,,Thu Jun  4 18:29:22 2015
177,,Maxime Authom,BEL,277,-3,-,-,-,-,,Thu Jun  4 18:29:22 2015
178,,Andreas Beck,GER,276,-13,-,Lost in Furth R32,-,-,,Thu Jun  4 18:29:22 2015
179,,Elias Ymer,SWE,275,-4,Furth QF,Lost in Roland Garros R128,291,348,,Thu Jun  4 18:29:22 2015
180,,Evgeny Donskoy,RUS,273,-3,-,Lost in Furth R32,-,-,,Thu Jun  4 18:29:22 2015
181,,Ze Zhang,CHN,263,+2,-,-,-,-,,Thu Jun  4 18:29:22 2015
182,,Matthew Ebden,AUS,259,+9,Manchester QF,-,273,324,,Thu Jun  4 18:29:22 2015
183,,Thomas Fabbiano,ITA,258,-4,-,Lost in Vicenza R32Lost in Mestre R32,-,-,,Thu Jun  4 18:29:22 2015
184,,Andrea Arnaboldi,ITA,254,+3,-,Lost in Roland Garros R64Lost in Mestre R32,-,-,,Thu Jun  4 18:29:22 2015
185,,Adrian Ungur,ROU,254,+3,-,Lost in Furth R32,-,-,,Thu Jun  4 18:29:22 2015
186,,Jan Hernych,CZE,251,+12,-,Lost in Prostejov R16,-,-,,Thu Jun  4 18:29:22 2015
187,,Ruben Ramirez Hidalgo,ESP,250,+3,-,Lost in Furth R32,-,-,,Thu Jun  4 18:29:22 2015
188,,Brydan Klein,GBR,250,+8,Manchester R16,-,258,323,,Thu Jun  4 18:29:22 2015
189,,Victor Hanescu,ROU,246,-3,-,-,-,-,,Thu Jun  4 18:29:22 2015
190,,Chase Buchanan,USA,245,-8,-,Lost in Vicenza R32Lost in Mestre R16,-,-,,Thu Jun  4 18:29:22 2015
191,,Laslo Djere,SRB,244,+56,Prostejov SF,-,274,324,,Thu Jun  4 18:29:22 2015
192,,Dennis Novikov,USA,243,-8,Manchester R16,Lost in Vicenza R32,251,316,,Thu Jun  4 18:29:22 2015
193,,Christian Lindell,SWE,243,+21,-,Lost in Roland Garros R128Lost in Furth R16,-,-,,Thu Jun  4 18:29:22 2015
194,,Giovanni Lapentti,ECU,241,-1,-,Lost in Furth R16,-,-,,Thu Jun  4 18:29:22 2015
195,,Nicolas Kicker,ARG,241,+37,-,Lost in Villa del Dique QFVilla Allende W,-,-,,Thu Jun  4 18:29:22 2015
196,,Saketh Myneni,IND,237,+7,-,-,-,-,,Thu Jun  4 18:29:22 2015
197,,Vincent Millot,FRA,235,+8,-,Lost in Furth R32,-,-,,Thu Jun  4 18:29:22 2015
