127,,Daniel Munoz De La Nava,ESP,415,+7,Moscow QF,-,431,488,,Thu Jun 11 00:00:09 2015
128,,Albert Montanes,ESP,405,+8,Prague QF,-,421,478,,Thu Jun 11 00:00:09 2015
129,,Edouard Roger Vasselin,FRA,402,-1,-,-,-,-,,Thu Jun 11 00:00:09 2015
130,,Andrey Golubev,KAZ,402,+2,-,-,-,-,,Thu Jun 11 00:00:09 2015
131,,Facundo Bagnis,ARG,397,-18,-,-,-,-,,Thu Jun 11 00:00:09 2015
132,,Bjorn Fratangelo,USA,397,+12,Caltanissetta QF,-,417,497,,Thu Jun 11 00:00:09 2015
133,,Facundo Arguello,ARG,392,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
134,,Marinko Matosevic,AUS,391,-12,-,Lost in 's-Hertogenbosch R32,-,-,,Thu Jun 11 00:00:09 2015
135,,Denis Kudla,USA,391,+4,Surbiton QF,-,405,456,,Thu Jun 11 00:00:09 2015
136,,Horacio Zeballos,ARG,391,+4,Moscow R16,-,400,473,,Thu Jun 11 00:00:09 2015
137,,Andre Ghem,BRA,391,-2,-,Lost in Prague R16,-,-,,Thu Jun 11 00:00:09 2015
138,,Michael Berrer,GER,386,+3,-,Lost in Qualification Stuttgart R3,-,-,,Thu Jun 11 00:00:09 2015
139,,Michal Przysiezny,POL,380,+3,-,Lost in Qualification Stuttgart R2,-,-,,Thu Jun 11 00:00:09 2015
140,,Yoshihito Nishioka,JPN,378,+7,Surbiton QF,-,392,443,,Thu Jun 11 00:00:09 2015
141,,Alexander Kudryavtsev,RUS,376,-14,-,Lost in Moscow R32,-,-,,Thu Jun 11 00:00:09 2015
142,,Inigo Cervantes,ESP,373,+9,Prague QF,-,389,446,,Thu Jun 11 00:00:09 2015
143,,Nicolas Almagro,ESP,370,+3,-,-,-,-,,Thu Jun 11 00:00:09 2015
144,,Yuichi Sugita,JPN,362,+6,-,Lost in Qualification Stuttgart R3,-,-,,Thu Jun 11 00:00:09 2015
145,,Alejandro Falla,COL,358,-43,-,Lost in Qualification Stuttgart R2,-,-,,Thu Jun 11 00:00:09 2015
146,,Rajeev Ram,USA,356,-8,-,-,-,-,,Thu Jun 11 00:00:09 2015
147,,Norbert Gombos,SVK,355,-10,Prague R16,-,364,437,,Thu Jun 11 00:00:09 2015
148,,Pierre Hugues Herbert,FRA,353,-5,-,Lost in Qualification 's-Hertogenbosch R3,-,-,,Thu Jun 11 00:00:09 2015
149,,Nikoloz Basilashvili,GEO,351,-,-,Lost in Qualification Stuttgart R1,-,-,,Thu Jun 11 00:00:09 2015
150,,Konstantin Kravchuk,RUS,350,-5,-,-,-,-,,Thu Jun 11 00:00:09 2015
151,,Jimmy Wang,TPE,345,+2,-,Lost in Qualification Stuttgart R1,-,-,,Thu Jun 11 00:00:09 2015
