Data,Round,Civility,Player1 (Player1 / Player2),Player2 (Player3 / Player4),Sets,Tournment,Clay,1st SERVE % P1,1st SERVE % P2,1st SERVE POINTS WON P1,1st SERVE POINTS WON P2,2nd SERVE POINTS WON P1,2nd SERVE POINTS WON P2,BREAK POINTS WON P1,BREAK POINTS WON P2,TOTAL RETURN POINTS WON P1,TOTAL RETURN POINTS WON P2,TOTAL POINTS WON P1,TOTAL POINTS WON P2,DOUBLE FAULTS P1,DOUBLE FAULTS P2,ACES P1,ACES P2,Country P1,Birthday P1,Height P1,Weight P1,Profi since P1,Play P1,Ranking's position P1,Points P1,Prize money P1,Country P2,Birthday P2,Height P2,Weight P2,Profi since P2,Play P2,Ranking's position P2,Points P2,Prize money P2,Country P3,Birthday P3,Height P3,Weight P3,Profi since P3,Play P3,Ranking's position P3,Points P3,Prize money P3,Country P4,Birthday P4,Height P4,Weight P4,Profi since P4,Play P4,Ranking's position P4,Points P4,Prize money P4
21.05.15,q 2,male,Jared Donaldson,Ramkumar Ramanathan,"6-2, 6-0",Paris,Clay,25/41 (61%),39/62 (63%),22/25 (88%),21/39 (54%),10/16 (63%),7/23 (30%),5/17 (29%),0/3 (0%),34/62 (55%),9/41 (22%),66/103 (64%),37/103 (36%),0,1,3,0,USA,"09.10.96, 18 years",-,-,-,-,153,337,90.527 $,India,"08.11.94, 20 years",-,-,-,-,258,196,54.267 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19.05.15,q 1,male,Matteo Viola,Mirza Basic,"6-2, 7-5",Paris,Clay,43/63 (68%),42/72 (58%),33/43 (77%),25/42 (60%),10/20 (50%),13/30 (43%),4/7 (57%),1/3 (33%),34/72 (47%),20/63 (32%),77/135 (57%),58/135 (43%),4,2,6,2,Italy,"07.07.87, 27 years",-,-,-,-,224,213,457.299 $,Bosnia and Herzeg.,"12.07.91, 23 years",-,-,-,-,207,233,159.961 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19.05.15,q 1,male,Evgeny Donskoy,Juan Ignacio Londero,"6-1, 6-3",Paris,Clay,31/58 (53%),37/46 (80%),24/31 (77%),19/37 (51%),13/27 (48%),2/9 (22%),5/9 (56%),1/5 (20%),25/46 (54%),21/58 (36%),62/104 (60%),42/104 (40%),2,3,7,0,Russia,"09.05.90, 25 years",-,-,-,-,177,281,927.315 $,Argentina,"15.08.93, 21 years",-,-,-,-,277,177,103.492 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21.05.15,q 2,male,Nikoloz Basilashvili,Bjorn Fratangelo,"6-1, 6-79, 6-3",Paris,Clay,81/117 (69%),59/81 (73%),56/81 (69%),36/59 (61%),17/36 (47%),13/22 (59%),5/8 (63%),2/12 (17%),32/81 (40%),44/117 (38%),105/198 (53%),93/198 (47%),3,0,6,0,Georgia,"23.02.92, 23 years",-,-,-,-,160,323,114.751 $,USA,"19.07.93, 21 years",-,-,-,-,149,349,61.548 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29.05.15,2nd round,male,Vasek Pospisil/Jack Sock,Robert Lindstedt/Jurgen Melzer,"6-4, 6-4",Paris,Clay,32/54 (59%),40/65 (62%),26/32 (81%),30/40 (75%),16/22 (73%),12/25 (48%),2/10 (20%),0/3 (0%),23/65 (35%),12/54 (22%),65/119 (55%),54/119 (45%),1,2,5,2,Canada,"23.06.90, 24 years",193 cm,80 kg,-,Right-handed,-,-,-,USA,"24.09.92, 22 years",-,-,-,-,-,-,-,Sweden,"19.03.77, 38 years",-,-,-,-,-,-,-,Austria,"22.05.81, 34 years",182 cm,75 kg,1999,Left-handed,-,-,-
19.05.15,q 1,male,Brydan Klein,Mathias Bourgue,"3-6, 6-2, 9-7",Paris,Clay,70/115 (61%),56/105 (53%),48/70 (69%),38/56 (68%),19/45 (42%),23/49 (47%),6/14 (43%),4/17 (24%),44/105 (42%),48/115 (42%),111/220 (50%),109/220 (50%),6,3,2,5,United Kingdom,"31.12.89, 25 years",183 cm,80 kg,-,Right-handed,196,246,311.720 $,France,"18.01.94, 21 years",-,-,-,-,200,241,67.011 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26.05.15,1st round,male,Leonardo Mayer,Jiri Vesely,"3-6, 7-66, 6-3, 5-7, 6-2",Paris,Clay,104/154 (68%),124/172 (72%),75/104 (72%),86/124 (69%),24/50 (48%),23/48 (48%),5/17 (29%),5/8 (63%),63/172 (37%),55/154 (36%),162/326 (50%),164/326 (50%),5,6,11,3,Argentina,"15.05.87, 28 years",190 cm,78 kg,-,Right-handed,22,1580,2.891.268 $,Czech Republic,"10.07.93, 21 years",-,-,-,-,41,1053,704.530 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25.05.15,1st round,male,Benjamin Becker,Ruben Bemelmans,"6-3, 6-75, 2-6, 7-64, 6-2",Paris,Clay,119/182 (65%),120/167 (72%),79/119 (66%),80/120 (67%),34/63 (54%),23/47 (49%),5/13 (38%),4/12 (33%),64/167 (38%),69/182 (38%),177/349 (51%),172/349 (49%),7,3,11,18,Germany,"16.06.81, 33 years",177 cm,79 kg,2005,Right-handed,48,965,3.436.215 $,Belgium,"14.01.88, 27 years",173 cm,60 kg,-,Left-handed,95,546,671.105 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27.05.15,2nd round,male,Stan Wawrinka,Dusan Lajovic,"6-3, 6-4, 5-7, 6-3",Paris,Clay,57/131 (44%),77/133 (58%),40/57 (70%),45/77 (58%),38/74 (51%),25/56 (45%),8/20 (40%),5/11 (45%),63/133 (47%),53/131 (40%),141/264 (53%),123/264 (47%),9,1,11,3,Switzerland,"28.03.85, 30 years",182 cm,79 kg,2002,Right-handed,9,3845,14.399.798 $,Serbia,"30.06.90, 24 years",-,-,-,-,67,730,794.734 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29.05.15,3rd round,male,Roger Federer,Damir Dzumhur,"6-4, 6-3, 6-2",Paris,Clay,53/82 (65%),57/81 (70%),36/53 (68%),32/57 (56%),19/29 (66%),12/24 (50%),6/8 (75%),1/5 (20%),37/81 (46%),27/82 (33%),92/163 (56%),71/163 (44%),1,2,4,3,Switzerland,"08.08.81, 33 years",185 cm,80 kg,1998,Right-handed,2,9235,88.611.538 $,Bosnia and Herzeg.,"20.05.92, 23 years",-,-,-,-,88,601,296.153 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19.05.15,q 1,male,Michal Przysiezny,Aldin Setkic,"6-4, 4-6, 6-3",Paris,Clay,59/88 (67%),60/86 (70%),46/59 (78%),42/60 (70%),17/29 (59%),14/26 (54%),2/6 (33%),1/6 (17%),30/86 (35%),25/88 (28%),93/174 (53%),81/174 (47%),1,5,5,6,Poland,"16.02.84, 31 years",185 cm,82 kg,-,Right-handed,138,382,1.215.563 $,Bosnia and Herzeg.,"21.12.87, 27 years",192 cm,90 kg,-,Right-handed,212,226,165.163 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
